App Name,Link App,Rating,Review Count,Price Status,Description
PixelPro for your TikTok Pixel,https://apps.shopify.com/pixeltok-pixel-installer?ot=8c6a0afb-a512-4190-a8b4-bcc2ff13f96b&search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=1&surface_type=search_ad,4.9,72 total reviews,Free plan available,Event Tracking & Attribution for your TikTok Pixels & Ads
TikTok,https://apps.shopify.com/tiktok?ot=8983145d-2f6b-494f-800f-71e6865e671e&search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=2&surface_type=search_ad,4.8,23969 total reviews,Free to install,Showcase your products to TikTok's users and increase sales
TiXel: Multi Pixel Installer,https://apps.shopify.com/tixel?ot=64c1407f-b236-422c-a33b-bfb7648e1a6e&search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=3&surface_type=search_ad,4.9,166 total reviews,Free plan available,Accurate ads event tracking with multipixel for Halloween Sale
MT Facebook Pixel Tiktok Pixel,https://apps.shopify.com/madgictracking-tiktok-pixels?ot=0ce0c0eb-ce7f-4bd6-82e6-c04f95656845&search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=4&surface_type=search_ad,5.0,23 total reviews,Free plan available,"➜Setup Multi TikTok Pixels + Events API, auto-sync TikTok Shop"
PixelPro for your TikTok Pixel,https://apps.shopify.com/pixeltok-pixel-installer?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=5&surface_type=search,4.9,72 total reviews,Free plan available,Event Tracking & Attribution for your TikTok Pixels & Ads
∞ Facebook Pixel ‑Tiktok Pixel,https://apps.shopify.com/infinite-fb-tiktok-pixels?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=6&surface_type=search,5.0,644 total reviews,Free plan available,"Track Facebook Pixel, TikTok Pixel, X, Pinterest & Snapchat"
δ Google Ads & TikTok Pixels,https://apps.shopify.com/shoptok?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=7&surface_type=search,5.0,467 total reviews,Free trial available,"Setup Google Ads Pixel, Google Tag Manager, FB & TikTok Pixels"
TikTok,https://apps.shopify.com/tiktok?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=8&surface_type=search,4.8,23969 total reviews,Free to install,Showcase your products to TikTok's users and increase sales
MT Facebook Pixel Tiktok Pixel,https://apps.shopify.com/madgictracking-tiktok-pixels?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=9&surface_type=search,5.0,23 total reviews,Free plan available,"➜Setup Multi TikTok Pixels + Events API, auto-sync TikTok Shop"
TikShop: Feed & Omega Pixel,https://apps.shopify.com/tiktok-multi-pixels?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=10&surface_type=search,5.0,282 total reviews,Free plan available,"Event Tracking for your TikTok Pixel, TikTok Shop, Catalog"
Lexus Tiktok Pixels,https://apps.shopify.com/tracking-app11?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=11&surface_type=search,5.0,12 total reviews,Free,Install Multiple Tiktok Pixel Into Your Shop
Multi TikTok Pixel,https://apps.shopify.com/optiapps-multi-tiktok-pixels?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=12&surface_type=search,4.8,21 total reviews,Free trial available,Boost TikTok ads w/ multiple TikTok pixels & TikTok API
Avantify Pixel: Facebook Pixel,https://apps.shopify.com/avantify-multi-pixels?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=13&surface_type=search,5.0,54 total reviews,Free plan available,"Send Conversion API to your Meta Pixel, TikTok Pixel tracking"
TiXel: Multi Pixel Installer,https://apps.shopify.com/tixel?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=14&surface_type=search,4.9,166 total reviews,Free plan available,Accurate ads event tracking with multipixel for Halloween Sale
Zotek Multi Facebook Pixel,https://apps.shopify.com/facebook-multiple-pixel?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=15&surface_type=search,5.0,55 total reviews,Free plan available,"Boost your Ads with Multi Facebook, Tiktok Pixel and Catalog"
TikTok Pixel & Events API,https://apps.shopify.com/tiktok-multipixel?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=16&surface_type=search,N/A,N/A,Free,100% ACCURACY with 0.00% impact on SITE SPEED **************
Orichi: Tiktok Facebook Pixels,https://apps.shopify.com/yuri-facebook-multi-pixels?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=17&surface_type=search,4.9,140 total reviews,Free plan available,Track Multi Pixel Facebook (Meta Pixel) with Conversion API
Pixel‑x Facebook Tiktok GA4,https://apps.shopify.com/pixel-x-facebook-tiktok-ga4?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=18&surface_type=search,4.2,67 total reviews,Free plan available,Setup Facebook & Tiktok pixels and easily setup audiences
Octopixels ‑ Tiktok Pixel,https://apps.shopify.com/octopixels-tiktok-pixel?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=19&surface_type=search,5.0,1 total reviews,Free,Ultimate tiktok multi pixel tracking solution with CPI
Pandectes GDPR Compliance,https://apps.shopify.com/gdpr-cookie-consent?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=20&surface_type=search,5.0,1979 total reviews,Free plan available,"Optimized GDPR with TCF v2.2, GCM v2, and Checkout ext Banner"
"OnePixel Facebook Pixel,TikTok",https://apps.shopify.com/onepixel?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=21&surface_type=search,4.7,212 total reviews,Free plan available,"Track Multipixel, Google Ads Conversion & Conversions API"
Avada GDPR Cookie Consent,https://apps.shopify.com/avada-cookie-bar?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=22&surface_type=search,5.0,1329 total reviews,Free plan available,Ensure GDPR compliance with a cookie banner for your store
Wishlist Hero,https://apps.shopify.com/wishlist-hero?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=23&surface_type=search,4.6,527 total reviews,Free plan available,Grow Sales with a customizable Wishlist & Email reminders
TikTok Pixel with Events API,https://apps.shopify.com/conversios-tiktok-events?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=24&surface_type=search,N/A,N/A,Free trial available,Accurately track tiktok ads performance and build audiences.
"Trackify Facebook Pixel,TikTok",https://apps.shopify.com/trackify-1?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=25&surface_type=search,4.9,881 total reviews,Free trial available,"Maximize Social Ads w/ Facebook Pixel, TikTok & Conversion API"
TikTok Shop Connector — SPL,https://apps.shopify.com/slashcart-tiktok-shop-sync?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=26&surface_type=search,5.0,72 total reviews,Free plan available,"Integrate TikTok Shop, Sync Inventory & Orders — 24/7 Support"
UpStack Facebook Pixel CAPI,https://apps.shopify.com/upstackified?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=27&surface_type=search,5.0,28 total reviews,Free trial available,UpStack Data Pixel for Facebook Pixel & Klaviyo Flows
Multi : Tiktok Facebook Pixels,https://apps.shopify.com/pix-multiple-tiktok-pixels?search_id=f444fb1e-589d-449c-8bcc-6077ace563e6&surface_detail=tiktok+pixel&surface_inter_position=1&surface_intra_position=28&surface_type=search,5.0,2 total reviews,Free,Maximize your TikTok and Facebook ad success
